Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6147879,2,Person,Person,Assault: Simple/Intimidation,Kenton,2/19/2026,1200,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6147881,2,Person,Person,Assault: Simple/Intimidation,Portsmouth,2/19/2026,1643,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6147890,1,Person,Person,Sex Offenses,Hazelwood,2/15/2026,2000,Sex Offenses,1,Sodomy,,,,,2/16/2026,February 2026
,26-X6147896,2,Person,Person,Sex Offenses,Concordia,5/14/2025,1,Sex Offenses,1,Sodomy,,,,,2/19/2026,February 2026
,26-X6147901,2,Person,Person,Assault: Simple/Intimidation,Concordia,2/19/2026,1839,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6147947,1,Person,Person,Assault: Simple/Intimidation,Hazelwood,2/17/2026,1100,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6147957,4,Person,Person,Assault: Simple/Intimidation,Hillsdale,2/19/2026,1357,Assault Offenses,1,Simple Assault,,,,,2/19/2026,February 2026
,26-X6147980,2,Person,Person,Assault: Simple/Intimidation,Overlook,2/19/2026,807,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6147981,2,Person,Person,Assault: Aggravated,Kenton,2/19/2026,1700,Assault Offenses,1,Aggravated Assault,,,,,2/20/2026,February 2026
,26-X6147996,2,Person,Person,Assault: Simple/Intimidation,Concordia,2/20/2026,1003,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148085,4,Person,Person,Assault: Simple/Intimidation,Eastmoreland,2/18/2026,1618,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148112,3,Person,Person,Sex Offenses,Montavilla,2/17/2026,1,Sex Offenses,1,Fondling,,,,,2/17/2026,February 2026
,26-X6148183,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,2/7/2026,1630,Larceny Offenses,1,Theft From Motor Vehicle,,,,,2/7/2026,February 2026
,26-X6148227,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,2/20/2026,1559,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148232,1,Property,Property,Vandalism,Powellhurst-Gilbert,2/20/2026,1123,Vandalism,1,Vandalism,,,,,2/20/2026,February 2026
,26-X6148236,4,Person,Person,Assault: Aggravated,Sellwood-Moreland,2/20/2026,1638,Assault Offenses,1,Aggravated Assault,,,,,2/20/2026,February 2026
,26-X6148238,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,2/20/2026,2252,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148271,1,Person,Person,Assault: Aggravated,Powellhurst-Gilbert,2/20/2026,1010,Assault Offenses,1,Aggravated Assault,,,,,2/20/2026,February 2026
,26-X6148310,4,Person,Person,Assault: Simple/Intimidation,Bridlemile,2/20/2026,1658,Assault Offenses,1,Simple Assault,,,,,2/20/2026,February 2026
,26-X6148363,1,Person,Person,Assault: Aggravated,Centennial,2/20/2026,2351,Assault Offenses,1,Aggravated Assault,,,,,2/21/2026,February 2026
,26-X6148383,2,Property,Property,Larceny: Car Prowl - Other,Lloyd,2/8/2026,1300,Larceny Offenses,1,Theft From Motor Vehicle,,,,,2/8/2026,February 2026
,26-X6148383,2,Property,Property,Vandalism,Lloyd,2/8/2026,1300,Vandalism,1,Vandalism,,,,,2/8/2026,February 2026
