Address,CaseNumber,CouncilDistrict,CrimeAgainst,CustomCrimeAgainst,CustomCrimeCategory,Neighborhood,OccurDate,OccurTime,OffenseCategory,OffenseCount,OffenseType,OpenDataLat,OpenDataLon,OpenDataX,OpenDataY,ReportDate,ReportMonthYear
,26-X6141655,1,Person,Person,Assault: Simple/Intimidation,Parkrose Heights,2/4/2026,1350,Assault Offenses,1,Intimidation,,,,,2/4/2026,February 2026
,26-X6141678,2,Person,Person,Assault: Aggravated,Overlook,2/1/2026,1915,Assault Offenses,1,Aggravated Assault,,,,,2/1/2026,February 2026
,26-X6141693,1,Person,Person,Assault: Simple/Intimidation,Powellhurst-Gilbert,2/4/2026,1912,Assault Offenses,1,Simple Assault,,,,,2/4/2026,February 2026
,26-X6141695,3,Person,Person,Assault: Simple/Intimidation,Buckman East,2/4/2026,2218,Assault Offenses,1,Simple Assault,,,,,2/4/2026,February 2026
,26-X6141696,3,Person,Person,Assault: Simple/Intimidation,Buckman East,1/14/2026,1,Assault Offenses,1,Simple Assault,,,,,2/4/2026,February 2026
,26-X6141697,4,Person,Person,Assault: Aggravated,Northwest,2/5/2026,109,Assault Offenses,1,Aggravated Assault,,,,,2/5/2026,February 2026
,26-X6141705,4,Person,Person,Assault: Simple/Intimidation,Marshall Park,2/4/2026,2317,Assault Offenses,1,Simple Assault,,,,,2/4/2026,February 2026
,26-X6141708,4,Person,Person,Assault: Aggravated,Pearl,2/5/2026,518,Assault Offenses,1,Aggravated Assault,,,,,2/5/2026,February 2026
,26-X6141709,1,Person,Person,Assault: Simple/Intimidation,Centennial,2/4/2026,1614,Assault Offenses,1,Simple Assault,,,,,2/4/2026,February 2026
,26-X6141714,3,Person,Person,Assault: Aggravated,Kerns,2/5/2026,145,Assault Offenses,1,Aggravated Assault,,,,,2/5/2026,February 2026
,26-X6141720,1,Property,Property,Vandalism,Powellhurst-Gilbert,2/4/2026,936,Vandalism,1,Vandalism,,,,,2/4/2026,February 2026
,26-X6141750,1,Person,Person,Assault: Simple/Intimidation,Pleasant Valley,1/12/2026,1605,Assault Offenses,1,Intimidation,,,,,1/12/2026,January 2026
,26-X6141777,,Person,Person,Assault: Aggravated,Other,2/4/2026,1949,Assault Offenses,1,Aggravated Assault,,,,,2/4/2026,February 2026
